"Younited Pay","Younited Pay"
"Setting up","Installation"
"<strong>Module Requirements</strong>","<strong>Exigences techniques du module</strong>"
"To insure your module works accurately, please correct the following technical requirements","Pour garantir le bon fonctionnement de votre module, veuillez respecter les exigences techniques suivantes"
"<span style='color:red'><b>Younited Credit</b> can only be configured in WEBSITE or STORE VIEW, please select in the top-left menu the WEBSITE or STORE VIEW that you want to configure.</span>","<span style='color:red'><b>Younited Credit</b> peut être configuré uniquement au niveau des SITES WEB ou VUES MAGASIN, sélectionnez dans le menu en haut à gauche le SITE WEB ou la VUE MAGASIN que vous souhaitez configurer.</span>"
"Environment","Environnement"
"This option defines in whitch environment your module is configured.","Cette option définit dans quel environnement votre module est configuré."
"Client Secret","Client secret"
"WebHook Secret","Webhook secret"
"This information is located in your dashboard: 'Settings' > 'General settings'.","Ces informations se trouvent dans votre tableau de bord : Paramètres > Paramètres généraux."
"Enable IP Whitelist","Activer la whitelist d'IP"
"IP Whitelist","Whitelist d'IP"
"Comma separated IP list.<br />When enabled, only the listed IPs will see the module’s components on the site.","Liste d'IP séparées par une virgule. Lorsque cette option est activée, seules les IP listées verront les composants du module sur le site."
"Display","Affichage"
"Show monthly installments","Afficher les mensualités"
"If you wish only have theses informations on the cart you can select 'No' to hide it on product pages. This also disables the widget codes.","Si vous souhaitez afficher ces informations uniquement à l'étape du panier, vous pouvez sélectionner "Non" pour les masquer sur les pages produits. Cela désactive également les codes des widgets."
"Monthly installments location","Emplacement des mensualités"
"These values are locations registered by your current theme, you can choose any of them to place the block where it looks the best.","Ces emplacements sont enregistrés dans votre thème actuel, vous pouvez choisir n'importe lequel d'entre eux pour placer le widget sur votre site."
"Monthly installments widget","Widget mensualités"
"After products prices","Après les prix des produits"
"After Add To Cart button","Après le bouton Ajouter au panier"
"Product Information","Information produit"
"Selected maturities","Maturités sélectionnées"
"Installments","Maturités"
"Min. amount (tax included)","Montant min (ttc)"
"Max. amount (tax included)","Montant max (ttc)"
"Installments from","Prélèvements à partir de"
"€/month. And up to","€/mois. Et jusqu'à"
"€/month","€/mois"
"Add a maturity","Ajouter une maturité"
"To keep your site cluter free you should select a maximum of 3 maturities.","Pour garantir une expérience client optimale et une bonne lecture de votre site, nous vous conseillons de sélectionner un maximum de 3 maturités."
"Credit activation status","Statut d'activation du crédit"
"The credit will be activated when the order changes to the selected status.","Le crédit sera activé lorsque la commande passera au statut sélectionné."
"If you have any problem or the informations in the module aren't up to date you can empty the cache, new data will be fetched automatically.","Si vous avez un problème ou si les informations contenues dans le module ne sont pas à jour, vous pouvez vider le cache, les nouvelles données seront récupérées automatiquement."
"Flush cache","Supprimer le cache"
"Taking out a loan is a commitment with an obligation of repayment. Verify your ability to repay the loan before committing.","Un crédit vous engage et doit être remboursé. Vérifiez vos capacités de remboursement avant de vous engager."
"Total amount due of","Montant total dû de"
"You pay back","Vous remboursez"
"installements of","mensualités de"
"over a period of","sur une durée de"
"months","mois"
"Fixed Annual Percentage Rate (APR) of","Taux Annuel Effectif Global (TAEG) fixe de"
"Fixed borrowing rate of","Taux débiteur fixe de"
"Interest and fees due of","Intérêts et frais dus de"
"Pay in %1 times without fees (for %2€/month) with","Payer en %1 fois sans frais (pour %2€/mois) avec"
"Cell Phone number is not french and in international format (+33X XX XX XX XX). Please update your phone number of your address and try again.","Le numéro de téléphone n'est pas au format international français (+33X XX XX XX XX). Merci de mettre à jour votre numéro de téléphone sur votre adresse et d'essayer à nouveau."
"Simple","Simple"
"Instant","Instantané"
"Secured","Sécurisé"
"Younited, it's never been easier","Cela n'a jamais été aussi simple"
"to pay in several times.","de payer en plusieurs fois !"
"Have a question? Visit our","Un question ? C'est par"
"dedicated page","ici"
"Bank Card","Carte bancaire"
"Your purchase for","Votre achat pour"
"/month with","/mois avec"
"Buy today and start paying","Achetez aujourd’hui et commencez à payer"
"in just 30 days!","dans 30 jours seulement !"
"Amount of financing","Montant du financement"
"Payment cost","Coût du paiement"
"Total amount owed","Montant total dû"
"Fixed APR","TAEG fixe "
"Fixed borrowing rate","Taux débiteur fixe "
"A loan commits you and must<br>be repaid. Check yourability to<br>repay before commit yourself.","Un crédit vous engage et doit<br>être remboursé. Vérifiez vos<br>capacités de remboursement<br>avant de vous engager."
"Custom","Personnalisé"
"/media/younitedpay/image-marketing-en.png","/media/younitedpay/image-marketing-fr.png"
"Have a question about","Une question sur"
"You can reach a technical team or your account manager from your back office via our ticketing system.","Vous pouvez joindre une équipe technique ou votre account manager depuis votre Back Office via notre système de ticketing."
"If your question concerns technical difficulties with the module, please refer to","Si votre question concerne des difficultés techniques, veuillez contacter"
"our support team","notre équipe support"
"More informations","Plus d'informations"
"Need Help ?","Besoin d'aide ?"
"What is YounitedPay ?","Qu'est ce que YounitedPay ?"
"Younited Pay is an instant credit offer from Younited. With Younited Pay, your customers can pay for their purchases in installments, with maturities ranging from 1x to 84x. This solution is available for baskets between 100€ and 50 000€. You will be paid for the entire order and we take care of any outstanding payments. We are paid by taking a commission on the transactions that are made through our payment solution. There are no additional costs. For more information: https://www.younited-pay.com","Younited Pay est une offre de crédit affecté proposée par Younited. Grâce à Younited Pay, vos clients peuvent payer leurs achats en plusieurs fois, sur des maturités allant de 1x à 84x. Cette solution est disponible pour des paniers compris entre 100€ et 50 000€. Vous serez payé de la totalité de la commande et nous prenons en charge les impayés. Nous sommes rémunérés en prenant une commission sur les transactions qui sont réalisées via notre solution de paiement. Il n’y a donc aucun frais supplémentaire. Pour plus d'informations: https://www.younited-pay.com"
"How does YounitedPay ?","Comment fonctionne YounitedPay ?"
"Once the customer has completed his order on your website, and has selected the type of payment in installments that suits him, he will be redirected to our subscription path. During this process, he will be asked to verify his identity, to provide his credit card information for the monthly payments and to fill out a form declaring his solvency. These steps allow the YounitedPay solution to be regulated and responsible, in line with the legislation.","Une fois que le client à terminé sa commande sur votre site marchand, et qu'il a sélectionné le type de paiement en plusieurs fois qui lui convient, il sera redirigé sur notre parcours de souscription. Durant ce parcours, il lui sera demandé de vérifier son identité, de fournir ses données de carte bancaire pour le prélévement de ses mensualités ainsi que de remplir une fiche déclarative sur sa solvabilité. Ces étapes permettent à la solution YounitedPay d'être régulée et responsable, en ligne avec la législation."
"What information should I add to my General Terms and Conditins (GTC) ?","Quelles sont les informations à ajouter à mes Conditions Générales de Vente (CGV) ?"
"How do I display YounitedPay on my product page ?","Comment afficher YounitedPay sur ma page produit ?"
"To optimize your conversion rate and ensure that your customers are aware of the YounitedPay offer, you can display the eligible offers on your product page. To do so, activate the 'Show monthly installments' function in the 'Display' section of the module. If the display is not optimal, make sure you have downloaded the latest version of the module.","Pour optimiser votre taux de conversion et garantir une bonne visibilité de l'offre YounitedPay pour vos clients, vous pouvez afficher les offres éligibles dès votre page produit. Pour ce faire, activez la fonction "Afficher les mensualités" dans la section "Affichage" du module. Si l'affichage n'est pas optimal, assurez vous d'avoir téléchargé la dernière version du module."
"How are refunds processed ?","Comment s'effectuent les demandes de remboursement ?"
"How can I test the module if I don't have a staging environment for my website ?","Comment tester le module si je n'ai pas d'environnement de test pour mon site ?"
"You have the possibility to whitelist IP addresses, allowing a test of the module on your production environment without display to all clients.","Vous avez la possibilité de whitelister des adresses IP, permettant un test du module sur votre environnement de production sans affichage à tous les clients."
