"Younited Pay","Younited Pay"
"Setting up","Instalación"
"<strong>Module Requirements</strong>","<strong>Requisitos del módulo</strong>"
"To insure your module works accurately, please correct the following technical requirements","Para asegurar el correcto funcionamiento del módulo, por favor, revisa los siguientes requisitos técnicos"
"<span style='color:red'><b>Younited Credit</b> can only be configured in WEBSITE or STORE VIEW, please select in the top-left menu the WEBSITE or STORE VIEW that you want to configure.</span>","<span style='color:red'><b>Younited Credit</b> sólo se puede configurar en VISTA WEB o VISTA TIENDA, por favor seleccione en el menú superior izquierdo la VISTA WEB o VISTA TIENDA que desea configurar."
"Environment","Modo"
"This option defines in whitch environment your module is configured.","Esta opción define en qué entorno se configura tu módulo."
"When enabled, only the listed IPs will see the module’s components on the site.","Cuando esta opción está activada, sólo las IPs listadas podrán ver los componentes del módulo en la web"
"Client Secret","Client secret"
"WebHook Secret","Webhook secret"
"This information is located in your dashboard: 'Settings' > 'General settings'.","Esta información se encuentra en el panel de control: ‘Ajustes’ > ‘Ajustes generales’"
"Enable IP Whitelist","Activar Whitelist de IP"
"IP Whitelist","Whitelist de IP"
"Comma separated IP list.","Lista de IP separadas por comas."
"Display","Visualización"
"Show monthly installments","Mostrar los pagos mensuales"
"If you wish only have theses informations on the cart you can select 'No' to hide it on product pages. This also disables the widget codes.","Si deseas mostrar esta información sólo en la cesta de la compra o en la fase de pago, puedes seleccionar ‘No’ para ocultarla en las páginas de productos. Esto también desactiva los códigos de los widgets."
"Monthly installments location","Ubicación de los pagos mensuales"
"These values are locations registered by your current theme, you can choose any of them to place the block where it looks the best.","Estos valores son ubicaciones registradas por tu tema actual, puedes elegir cualquiera de ellos para colocar el bloque donde mejor quede."
"Monthly installments widget","Widget pagos mensuales"
"After products prices","Después de los precios de los productos"
"After Add To Cart button","Después del botón Añadir al carrito"
"Product Information","Información del producto"
"Selected maturities","Plazos seleccionados"
"Installments","Plazos"
"with ","con "
"Min. amount (tax included)","Importe mínimo (con impuestos)"
"Max. amount (tax included)","Importe máximo (con impuestos)"
"Installments from","Retiros de"
" And up to"," y hasta "
"€/month","€/mes"
"Add a maturity","Añadir una mensualidad"
"To keep your site cluter free you should select a maximum of 3 maturities.","Para garantizar una experiencia óptima al cliente y una buena lectura del sitio, te aconsejamos seleccionar un máximo de 3 plazos."
"Credit activation status","Estado de activación del crédito"
"The credit will be activated when the order changes to the selected status.","El préstamo se activará cuando el pedido pase al estado seleccionado."
"If you have any problem or the informations in the module aren't up to date you can empty the cache, new data will be fetched automatically.","Si tienes algún problema o si la información del módulo no está actualizada, puedes borrar la caché y los nuevos datos se recuperarán automáticamente."
"Flush cache","Borrar caché"
"Taking out a loan is a commitment with an obligation of repayment. Verify your ability to repay the loan before committing.","Un crédito te compromete y debe ser reembolsado.Verifique su capacidad para pagar el préstamo antes de comprometerse."
"Total amount due of","El importe total adeudado asciende a"
"You pay back","Pagarás"
"installements of","cuotas mensuales de"
"over a period of","durante un periodo de"
"months","mes"
"Fixed Annual Percentage Rate (APR) of","Tasa Anual Equivalente (TAE) del"
"Fixed borrowing rate of","TIN del"
"Interest and fees due of","Intereses y gastos debidos de"
"Pay in %1 times without fees (for %2€/month) with","Paga en %1 veces sin comisiones (por %2€/mes) con"
"Pay in %1 times (for %2€/month) with","Paga en %1 veces (por %2€/mes) con"
"Cell Phone number is not french and in international format (+33XXXXXXXXX). Please update your phone number of your address and try again.","El número de teléfono tiene que ser francés y en formato internacional (+33XXXXXXXXX). Por favor, actualiza el número de teléfono en la sección de contacto."
"Cell Phone number is not spanish and in international format (+34XXXXXXXXX). Please update your phone number of your address and try again.","El número de teléfono tiene que ser español y en formato internacional (+34XXXXXXXXX). Por favor, actualiza el número de teléfono en la sección de contacto."
"Simple","Sencillo"
"Instant","Instantáneo"
"Secured","Segurado"
"Younited, it's never been easier","Younited, nunca ha sido tan fácil"
"to pay in installments.","pagar en plazos."
"Have a question? Visit our","Una pregunta ? Es por"
"dedicated page","aquí"
"Bank Card","Tarjeta bancaria"
"Your purchase for","Tu compra por "
"/month","/mes"
"Buy today and start paying","¡Compra hoy y empieza a pagar "
"in just 30 days!","en solo 30 días!"
"Amount of financing","Monto de financiación"
"Financing cost","Coste total de crédito"
"Total amount owed","Importe total adeudado"
"Fixed APR","TAE"
"Fixed borrowing rate","TIN"
"Taking out a loan is a commitment with an obligation of repayment. Verify your ability to repay the loan before committing.","Tomar un préstamo es un compromiso con una obligación de devolución. Verifique su capacidad para pagar el préstamo antes de comprometerse."
"Custom","Personalizado"
"image-marketing-en.png","Image-marketing-en.png"
"Have a question about","¿Tienes alguna pregunta?"
"You can reach a technical team or your account manager from your back office via our ticketing system.","Puedes contactar con nuestro equipo técnico o tu Account Manager desde tu Back Office con nuestro sistema de tickets."
"If your question concerns technical difficulties with the module, please refer to","Si tu pregunta es sobre problemas técnicos con el módulo, contacta por favor con "
"our support team","nuestro equipo de soporte"
"More informations","Más información"
"Need Help ?","Necesitas ayuda ?"
"What is YounitedPay ?","¿Qué es YounitedPay?"
"Younited Pay is an instant credit offer from Younited. With Younited Pay, your customers can pay for their purchases in installments, with maturities ranging from 1x to 84x. This solution is available for baskets between 100€ and 50 000€. You will be paid for the entire order and we take care of any outstanding payments. We are paid by taking a commission on the transactions that are made through our payment solution. There are no additional costs. For more information: https://www.younited-pay.com","Younited Pay es una oferta de crédito de Younited. Con Younited Pay, tus clientes pueden pagar sus compras a plazos, con vencimientos que van de 10x a 84x. Esta solución está disponible para cestas de la compra de entre 300 y 50.000 euros. Se te abonará la totalidad del pedido y nosotros nos encargaremos de los pagos pendientes. Nuestros ingresos se basan en una comisión por las transacciones que se realizan a través de nuestra solución de pago. No hay costes adicionales. Para más información: "
"How does YounitedPay ?","¿Cómo funciona YounitedPay?"
"Once the customer has completed his order on your website, and has selected the type of payment in installments that suits him, he will be redirected to our subscription path. During this process, he will be asked to verify his identity, to provide his credit card information for the monthly payments and to fill out a form declaring his solvency. These steps allow the YounitedPay solution to be regulated and responsible, in line with the legislation.","Una vez que el cliente haya completado su pedido en tu sitio web y haya seleccionado el tipo de pago a plazos que más le convenga, será redirigido a nuestra plataforma. Durante este proceso, se le pedirá que verifique su identidad, conecte su cuenta bancaria y responda a algunas preguntas. Estos pasos permiten que la solución YounitedPay esté regulada y ofrezca un crédito responsable, de acuerdo con la legislación."
"What information should I add to my General Terms and Conditins (GTC) ?","¿Qué información debo añadir a mis Condiciones Generales de Contratación?"
"How do I display YounitedPay on my product page ?","¿Cómo muestro YounitedPay en mi página de producto?"
"To optimize your conversion rate and ensure that your customers are aware of the YounitedPay offer, you can display the eligible offers on your product page. To do so, activate the 'Show monthly installments' function in the 'Display' section of the module. If the display is not optimal, make sure you have downloaded the latest version of the module.","Para optimizar tu tasa de conversión y asegurarse de que tus clientes ven la oferta YounitedPay, puedes mostrar las ofertas elegibles en tu página de producto. Para ello, activa la función 'Mostrar mensualidades' en la sección 'Visualización' del módulo. Si la visualización no es óptima, asegúrate de haber descargado la última versión del módulo."
"How are refunds processed ?","¿Cómo se solicitan los reembolsos?"
"How can I test the module if I don't have a staging environment for my website ?","¿Cómo puedo probar el módulo si no dispongo de un entorno de prueba para mi sitio?"
"You have the possibility to whitelist IP addresses, allowing a test of the module on your production environment without display to all clients.","Tienes la posibilidad de crear una Whitelist de direcciones IP, lo que permite probar el módulo en tu entorno de producción sin mostrarlo a todos los clientes."
"Younited Credit transaction started. Reference: %1","Se ha iniciado la transacción de Younited Credit. Referencia: %1"
"Customer successfully returns from Younited Pay. Invoice creation #%1.","El cliente vuelve correctamente de Younited Pay. Creación de factura #%1."
"Cannot contact Younited Credit API. Status code: %1 - %2.","No se puede contactar con la API de Younited Credit. Código de estado: %1 - %2."
"Younited API returns an invalid response.","La API de Younited devuelve una respuesta no válida."
"Please check your Younited API connexion informations.","Por favor, compruebe sus datos de conexión a la API de Younited."
"Payment refused, or error occurs during validation. Please try again.","Pago rechazado o se produce un error durante la validación. Inténtalo de nuevo."
"Disabled","Desactivada"
"Payment ID","Número de pago"
"Payment Date","Fecha de pago"
"Payment Status","Estado de pago"
"Cannot find Younited Credit payment informations.","No encuentro la información de pago de Younited Credit."
"Payment Status updated on","Estado del pago actualizado el"
"Maturity","Mensualidad"
"To confirme","Para confirmar"
"Younited Credit activation failed.","Error en la activación de Younited Credit."
"Confirmed","Confirmado"
"Canceled","Cancelado"
"Younited Pay : please consider either make a total refund, or make a partial refund AFTER you ship the order.","Younited Pay : por favor considere hacer un reembolso total, o hacer un reembolso parcial DESPUÉS de enviar el pedido."
"An error occured with Younited Payment refund. Please do it manually from Younited Payment dashboard.","Se ha producido un error con el reembolso de Younited Payment. Por favor, hágalo manualmente desde el panel de Younited Payment."
"Younited Payment contract successfully updated.","Contrato de pago Younited actualizado correctamente."
"By law you the credit must only be triggered once the products are shipped to the customer.","Por ley, el préstamo sólo puede ser activado tras entregarse el bien al cliente. Por favor, asegúrate de que el estatus elegido se ajusta a esta norma"
"In order to comply with the legislation, please add to your General Terms and Conditions (GTC) with the hyperlinks and replace [the Seller] with your company name:","Para cumplir la legislación, añada a sus Condiciones Generales de Contratación (CGC) los hipervínculos y sustituya [el Vendedor] por el nombre de su empresa:"
"[The Seller] offers its Customers the credit service of Younited Pay for the settlement of their purchases and the execution of the payment. This is conditional on the Customer's acceptance of the credit agreement offered by Younited.","El [Vendedor] ofrece a sus Clientes el servicio de crédito de Younited Pay para la liquidación de sus compras y la ejecución del pago. Esto está condicionado a la aceptación por parte del Cliente del contrato de crédito ofrecido por Younited."
"Any refusal by Younited to grant credit for an order may result in the cancellation of the order.","Cualquier negativa por parte de Younited a conceder crédito por un pedido puede resultar en la cancelación del mismo."
"Any termination of the T&Cs binding the Customer and [the Seller] shall result in the termination of the credit agreement between Younited and the Customer.","Cualquier rescisión de los T&C que vincule al Cliente y [al Vendedor] conllevará la rescisión del contrato de crédito entre Younited y el Cliente."
"In addition, also add to your General Terms and Conditions (GTC) (in accordance with Article L312-45, under penalty of fine):","Además, añada también a sus Condiciones Generales de Contratación (CGC) (de conformidad con el artículo L312-45, bajo pena de multa):"
"The amount is paid by a credit granted by Younited registered on the REGAFI under number 13156.","El importe se abona mediante un crédito concedido por Younited registrado en el REGAFI con el número 13156."
"There are two possibilities of refund: total and partial. These requests can be made directly from the back office of your Magento.<br />You have just to create a Credit Memo from the Order page.<br />Partial refund can be done too, but order need to be shipped before.","Hay dos opciones de reembolso: completo y parcial. Estas solicitudes se pueden realizar directamente desde el back office de su módulo Magento.<br />Sólo tiene que crear un abono desde la página del pedido.<br />También se puede hacer un reembolso parcial, pero el pedido debe enviarse antes."
"Reminder: the minimum monthly payment is 9.99 euros / month","Recordatorio: el pago mensual mínimo es de 9,99 euros / mes"
"Please check your Magento configuration client_id and client_secret to enable Younited Credit.","Por favor, compruebe su configuración de Magento client_id y client_secret para habilitar Younited Credit."
