"Younited Pay","Younited Pay"
"Setting up","Installazione"
"<strong>Module Requirements</strong>","<strong>Requisiti del modulo</strong>"
"To insure your module works accurately, please correct the following technical requirements","Per garantire il corretto funzionamento del vostro modulo, si prega di rispettare i seguenti requisiti tecnici"
"<span style='color:red'><b>Younited Credit</b> can only be configured in WEBSITE or STORE VIEW, please select in the top-left menu the WEBSITE or STORE VIEW that you want to configure.</span>","<span style='color:red'><b>Younited Pay</b> può essere configurato solo a livello di SITO WEB o VISTA NEGOZIO; selezionare nel menu in alto a sinistra il SITO WEB o la VISTA NEGOZIO che si desidera configurare.</span>"
"Environment","Ambiente"
"This option defines in whitch environment your module is configured.","Questa opzione definisce in quale ambiente è configurato il vostro modulo."
"When enabled, only the listed IPs will see the module’s components on the site.","Quando abilitato, solo gli indirizzi IP elencati vedranno i componenti del modulo sul sito."
"Client Secret","Client secret"
"WebHook Secret","WebHook Secret"
"This information is located in your dashboard: 'Settings' > 'General settings'.","Queste informazioni si trovano nella tua dashboard: ‘Impostazioni’ > ‘Impostazioni generali’."
"Enable IP Whitelist","Abilita whitelist IP"
"IP Whitelist","Whitelist IP"
"Comma separated IP list.","Elenco di IP separati da virgola."
"Display","Visualizza"
"Show monthly installments","Mostra le rate mensili"
"If you wish only have theses informations on the cart you can select 'No' to hide it on product pages. This also disables the widget codes.","Se desideri avere queste informazioni solo nel carrello, puoi selezionare ‘No’ per nasconderle nelle pagine di prodotto. Questo disabilita anche i codici dei widget."
"Monthly installments location","Posizione delle rate mensili"
"These values are locations registered by your current theme, you can choose any of them to place the block where it looks the best.","Questi valori sono le posizioni registrate dal tuo tema attuale; puoi scegliere una qualsiasi di esse per collocare il blocco nel punto in cui appare meglio."
"Monthly installments widget","Widget delle rate mensili"
"After products prices","Dopo i prezzi dei prodotti"
"After Add To Cart button","Dopo il pulsante ""Aggiungi al carrello"""
"Product Information","Informazioni sul prodotto"
"Selected maturities","Durate selezionate"
"Installments","Rate"
"with","con"
"Min. amount (tax included)","Importo min. (tasse incl.)"
"Max. amount (tax included)","Importo max (tasse incl.)"
"Installments from","Rate a partire da"
"And up to","E fino a"
"€/month","€/mese"
"Add a maturity","Aggiungi una durata"
"To keep your site cluter free you should select a maximum of 3 maturities.","Per un'esperienza cliente ottimale, ti consigliamo di selezionare un massimo di 3 durate."
"Credit activation status","Stato di attivazione del finanziamento"
"The credit will be activated when the order changes to the selected status.","Il finanziamento sarà attivato quando l’ordine passerà allo stato selezionato."
"If you have any problem or the informations in the module aren't up to date you can empty the cache, new data will be fetched automatically.","Se riscontri problemi o le informazioni nel modulo non sono aggiornate, puoi svuotare la cache: i nuovi dati verranno recuperati automaticamente."
